,name,platform,original_price(€),discounted_price(€),discount(%),release_date,users_rating,category,extraction_date
29,The Division 2 Xbox ONE,Xbox,70,50.99,27,15 marzo 2019,81 /100,GAME,05 abril 2019
30,Borderlands: The Pre-Sequel (Europe),Steam,40,7.49,81,16 octubre 2014,85 /100,GAME,05 abril 2019
31,Xbox Live Gold 14 Days Membership (Only New Accounts),Xbox,4,1.99,50,N/A,96 /100,GAME,05 abril 2019
32,Assassin's Creed Odyssey (Europe),Uplay,60,24.24,60, 5 octubre 2018,85 /100,GAME,05 abril 2019
33,Super Dragon Ball Heroes World Mission,Steam,50,35.98,28, 5 abril 2019,? /100,GAME,05 abril 2019
34,Gears of War 4 (PC / Xbox One),Xbox Play Anywhere,40,4.99,88,11 octubre 2016,71 /100,GAME,05 abril 2019
35,Los Sims 4: ¡Rumbo a la Fama! ,Origin,40,15.98,60,16 noviembre 2018,91 /100,DLC,05 abril 2019
36,Euro Truck Simulator 2: Beyond the Baltic Sea,Steam,18,8.21,54,29 noviembre 2018,97 /100,DLC,05 abril 2019
37,Farming Simulator 19,Steam,35,26.33,25,20 noviembre 2018,87 /100,GAME,05 abril 2019
38,Playerunknown's Battlegrounds,Steam,30,20.45,32,21 diciembre 2017,83 /100,GAME,05 abril 2019
39,Grid 2,Steam,25,1.01,96,31 mayo 2013,80 /100,GAME,05 abril 2019
40,Minecraft,Official Website,24,20.82,13,19 noviembre 2011,89 /100,GAME,05 abril 2019
41,Yoshi's Crafted World Switch (Europe),Nintendo,60,47.99,20,29 marzo 2019,80 /100,GAME,05 abril 2019
42,The Elder Scrolls V: Skyrim Special Edition,Steam,40,13.14,67,28 octubre 2016,94 /100,GAME,05 abril 2019
43,Los Sims 4: Perros y Gatos,Origin,40,15.49,61,10 noviembre 2017,91 /100,DLC,05 abril 2019
44,Sid Meier's Civilization VI: Gathering Storm (Europe),Steam,40,27.53,31,14 febrero 2019,93 /100,DLC,05 abril 2019
45,Generation Zero,Steam,35,28.95,17,26 marzo 2019,51 /100,GAME,05 abril 2019
46,Call of Duty: Modern Warfare 3 (Europe),Steam,40,5.74,86, 8 noviembre 2011,85 /100,GAME,05 abril 2019
47,Fortnite Bomber Skin + 500 V-bucks PS4 (Europe),Playstation,80,13.99,83,25 julio 2017,72 /100,GAME,05 abril 2019
48,Euro Truck Simulator 2: Italia,Steam,18,6.71,63, 5 diciembre 2017,95 /100,DLC,05 abril 2019
49,Far Cry New Dawn (Europe),Uplay,45,19.98,56,15 febrero 2019,74 /100,GAME,05 abril 2019
50,Dead by Daylight,Steam,20,8.04,60,14 junio 2016,83 /100,GAME,05 abril 2019
51,Xbox Game Pass 1 Month Trial Xbox ONE (Only New Accounts),Xbox,10,1.99,80,N/A,99 /100,GAME,05 abril 2019
52,Euro Truck Simulator 2: Vive la France,Steam,18,4.19,77, 5 diciembre 2016,93 /100,DLC,05 abril 2019
53,Los Sims 4: Y Las Cuatro Estaciones,Origin,40,15.98,60,22 junio 2018,92 /100,DLC,05 abril 2019
54,FIFA 19 Xbox ONE,Xbox,70,25.99,63,28 septiembre 2018,64 /100,GAME,05 abril 2019
55,Overwatch Legendary Edition,Battle.net,40,23.08,42,24 julio 2018,90 /100,GAME,05 abril 2019
56,Titanfall 2,Origin,60,9.49,84,28 octubre 2016,88 /100,GAME,05 abril 2019
57,Conan Exiles,Steam,40,13.78,66, 8 mayo 2018,75 /100,GAME,05 abril 2019
58,Tarjeta regalo Xbox Live 10€ (zona euro),Xbox,10,9.79,2,N/A,95 /100,GAME,05 abril 2019
59,Star Wars: Battlefront 2,Origin,60,11.62,81,17 noviembre 2017,70 /100,GAME,05 abril 2019
60,Civilization VI (Europe),Steam,60,10.64,82,21 octubre 2016,86 /100,GAME,05 abril 2019
61,Call of Duty: Black Ops 4 (Europe),Battle.net,60,29.29,51,12 octubre 2018,67 /100,GAME,05 abril 2019
62,Anno 1800 (Europe),Uplay,60,44.69,26,16 abril 2019,? /100,GAME,05 abril 2019
63,Euro Truck Simulator 2: Scandinavia,Steam,18,4.69,74, 6 mayo 2015,94 /100,DLC,05 abril 2019
64,Office Hogar y Estudiante 2016,Software,149,14.49,90,22 septiembre 2015,84 /100,GAME,05 abril 2019
65,World of Warcraft: Battle for Azeroth (Europe),Battle.net,45,25.70,43,14 agosto 2018,86 /100,DLC,05 abril 2019
66,Far Cry 5 (Europe),Uplay,60,19.98,67,27 marzo 2018,76 /100,GAME,05 abril 2019
67,Devil May Cry 5 (Europe),Steam,60,36.18,40, 8 marzo 2019,90 /100,GAME,05 abril 2019
68,Watch Dogs 2 (Europe),Uplay,60,8.75,85,29 noviembre 2016,80 /100,GAME,05 abril 2019
69,Cities: Skylines,Steam,28,6.71,76,10 marzo 2015,88 /100,GAME,05 abril 2019
70,Payday 2,Steam,10,4.68,53,13 agosto 2013,88 /100,GAME,05 abril 2019
71,Doom,Steam,20,6.91,65,13 mayo 2016,91 /100,GAME,05 abril 2019
72,Total War: Warhammer II (Europe),Steam,60,14.63,76,28 septiembre 2017,88 /100,GAME,05 abril 2019
73,The Crew 2 (Europe),Uplay,60,15.33,74,29 junio 2018,76 /100,GAME,05 abril 2019
74,Civilization VI: Rise and Fall (Europe),Steam,30,12.03,60, 8 febrero 2018,91 /100,DLC,05 abril 2019
75,Dark Souls 3,Steam,60,11.98,80,12 abril 2016,92 /100,GAME,05 abril 2019
76,Call of Duty: Black Ops (Europe),Steam,40,6.39,84, 9 noviembre 2010,88 /100,GAME,05 abril 2019
77,Xbox Live Gold 12 Month Membership (Europe),Xbox,60,37.99,37,N/A,100 /100,GAME,05 abril 2019
78,Assassin's Creed Odyssey Gold Edition Xbox ONE,Xbox,100,38.78,61, 5 octubre 2018,85 /100,GAME,05 abril 2019
79,Call of Duty: Modern Warfare 2 (Europe),Steam,20,5.73,71,10 noviembre 2009,89 /100,GAME,05 abril 2019
80,Tarjeta regalo Xbox Live 50€ (zona euro),Xbox,50,47.49,5,N/A,95 /100,GAME,05 abril 2019
81,Tarjeta regalo Xbox Live 25€ (zona euro),Xbox,25,23.99,4,N/A,95 /100,GAME,05 abril 2019
82,Arma 3 (Europe),Steam,35,18.89,46,12 septiembre 2013,87 /100,GAME,05 abril 2019
83,Battlefield 5 Deluxe Edition Xbox ONE,Xbox,90,29.79,67,18 noviembre 2018,76 /100,GAME,05 abril 2019
84,Battlefield 1 Revolution Xbox ONE,Xbox,40,1.99,95,22 agosto 2017,84 /100,GAME,05 abril 2019
85,Kingdom Come: Deliverance,Steam,50,19.99,60,13 febrero 2018,83 /100,GAME,05 abril 2019
86,Civilization VI Deluxe Edition (Europe),Steam,80,13.78,83,21 octubre 2016,86 /100,GAME,05 abril 2019
87,Ghost Recon: Wildlands (Europe),Uplay,50,18.99,62, 7 marzo 2017,83 /100,GAME,05 abril 2019
88,Tropico 5 Complete Collection,Steam,40,6.37,84,N/A,84 /100,GAME,05 abril 2019
89,Los Sims 3,Official Website,32,3.74,88, 4 junio 2009,84 /100,GAME,05 abril 2019
90,For the King,Steam,20,2.41,88,28 febrero 2017,87 /100,GAME,05 abril 2019
91,Mortal Kombat XL,Steam,20,5.90,70,13 abril 2015,85 /100,GAME,05 abril 2019
92,ARK: Survival Evolved Season Pass,Steam,40,18.43,54,29 agosto 2017,95 /100,DLC,05 abril 2019
93,Fortnite Eon Cosmetic Set + 2000 V-Bucks Xbox ONE,Xbox,100,40.99,59,26 septiembre 2018,87 /100,GAME,05 abril 2019
94,The Sims 4: Urbanitas,Origin,40,16.49,59, 3 noviembre 2016,90 /100,DLC,05 abril 2019
95,Tarjeta PlayStation Network 20€ (España) (ES),Playstation,20,17.99,10,N/A,96 /100,DLC,05 abril 2019
96,Final Fantasy XIV: A Realm Reborn 60-day time card (Europe),Official Website,26,23.98,8,27 agosto 2013,94 /100,DLC,05 abril 2019
97,Tarjeta PlayStation Network 50€ (España) (ES),Playstation,50,43.99,12,N/A,96 /100,GAME,05 abril 2019
98,TrackMania² Stadium,Steam,10,4.70,53,27 febrero 2013,88 /100,GAME,05 abril 2019
99,Fortnite Deep Freeze Bundle PC,Epic Games,30,17.04,43, 6 diciembre 2018,86 /100,GAME,05 abril 2019
100,Fallout 4 GOTY Edition,Steam,40,11.82,70,25 septiembre 2017,88 /100,GAME,05 abril 2019
101,Tom Clancy's Rainbow Six Siege Year 4 Pass (Europe),Uplay,30,26.49,12, 5 marzo 2019,87 /100,DLC,05 abril 2019
102,Dying Light: The Following - Enhanced Edition (Europe),Steam,30,14.00,53, 9 febrero 2016,90 /100,GAME,05 abril 2019
103,Killing Floor 2 Digital Deluxe Edition,Steam,37,4.91,87,18 noviembre 2016,88 /100,GAME,05 abril 2019
104,Resident Evil 2 Biohazard RE:2 (Europe),Steam,60,29.49,51,25 enero 2019,93 /100,GAME,05 abril 2019
105,Fallout 76 (Europe),Official Website,60,17.49,71,14 noviembre 2018,54 /100,GAME,05 abril 2019
106,The Sims 4: Get Together,Origin,40,11.49,71,10 diciembre 2015,79 /100,DLC,05 abril 2019
107,Euro Truck Simulator 2: Going East,Steam,10,3.40,66,19 septiembre 2013,95 /100,DLC,05 abril 2019
108,Guild Wars 2: Path of Fire,Ncsoft,30,16.49,45,22 septiembre 2017,91 /100,GAME,05 abril 2019
109,The Elder Scrolls Online: Summerset,Official Website,20,9.97,50,21 mayo 2018,67 /100,DLC,05 abril 2019
110,PlayStation Plus - 14 Days Trial Only New Accounts (Europe),Playstation,,3.99,/, 1 enero 2010,? /100,GAME,05 abril 2019
111,The Witcher 3: Wild Hunt GOTY,GOG.com,50,14.98,70,30 agosto 2016,95 /100,GAME,05 abril 2019
112,Stardew Valley,Steam,14,11.68,17,26 febrero 2016,94 /100,GAME,05 abril 2019
113,Battlefield 1,Origin,60,9.49,84,21 octubre 2016,85 /100,GAME,05 abril 2019
114,Nioh: Complete Edition (Europe),Steam,50,18.39,63, 7 noviembre 2017,76 /100,GAME,05 abril 2019
115,Dead Cells,Steam,25,14.77,41,10 mayo 2017,91 /100,GAME,05 abril 2019
116,Final Fantasy XIV Online Complete Edition (Europe),Official Website,40,15.51,61,20 junio 2017,90 /100,GAME,05 abril 2019
117,The Elder Scrolls V: Skyrim Legendary Edition (Europe),Steam,45,8.19,82, 7 junio 2013,94 /100,GAME,05 abril 2019
118,Tarjeta Nintendo eShop 25€ (Europe),Nintendo,25,23.99,4,N/A,98 /100,GAME,05 abril 2019
119,Pc Building Simulator,Steam,20,10.08,50,N/A,85 /100,GAME,05 abril 2019
120,The Escapists 2,Steam,20,7.49,63,21 agosto 2017,93 /100,GAME,05 abril 2019
121,Euro Truck Simulator 2: Special Transport,Steam,5,3.99,20,13 diciembre 2017,? /100,DLC,05 abril 2019
122,Fortnite Deep Freeze Bundle PS4 (Europe),Playstation,30,14.99,50,16 noviembre 2018,86 /100,GAME,05 abril 2019
123,The Elder Scrolls Online: Tamriel Unlimited 3000 Crown Pack,Official Website,21,17.69,16,N/A,69 /100,DLC,05 abril 2019
124,Terraria,Steam,10,6.62,34,16 mayo 2011,90 /100,GAME,05 abril 2019
125,Forza Motorsport 7 (PC / Xbox ONE),Xbox Play Anywhere,50,25.99,48, 3 octubre 2017,69 /100,GAME,05 abril 2019
126,The Division 2 Ultimate Edition (Europe),Uplay,120,89.98,25,12 marzo 2019,80 /100,GAME,05 abril 2019
127,Worms: Weapons of Mass Destruction,Steam,30,6.40,79,23 agosto 2016,93 /100,GAME,05 abril 2019
128,Battlefield 4: Premium Edition (juego incluido + all DLC) (Europe),Origin,70,13.22,81,24 octubre 2014,85 /100,GAME,05 abril 2019
129,DiRT Rally 2.0,Steam,55,23.98,56,26 febrero 2019,79 /100,GAME,05 abril 2019
130,Wolfenstein: The New Order,Steam,20,3.60,82,19 mayo 2014,90 /100,GAME,05 abril 2019
131,Car Mechanic Simulator 2018,Steam,20,8.33,58,28 julio 2017,76 /100,GAME,05 abril 2019
132,Grand Theft Auto Online: Great White Shark Cash Card,Rockstar,15,10.28,31,14 abril 2015,88 /100,DLC,05 abril 2019
133,Civilization V: Complete Edition,Steam,45,7.59,83,23 septiembre 2010,89 /100,GAME,05 abril 2019
134,Age of Empires: Definitive Edition,Official Website,20,9.16,54,20 febrero 2018,62 /100,GAME,05 abril 2019
135,The Legend of Zelda: Breath of the Wild Switch (Europe),Nintendo,70,54.99,21, 3 marzo 2017,94 /100,GAME,05 abril 2019
136,Pro Evolution Soccer 2019 (Europe),Steam,50,8.53,83,30 agosto 2018,66 /100,GAME,05 abril 2019
137,Middle-earth: Shadow of War Definitive Edition,Steam,50,11.13,78,28 agosto 2018,84 /100,GAME,05 abril 2019
138,Space Engineers (Europe),Steam,17,8.80,48,23 octubre 2013,87 /100,GAME,05 abril 2019
139,Mutant Year Zero: Road to Eden,Steam,35,8.78,75, 4 diciembre 2018,? /100,GAME,05 abril 2019
140,NBA 2K19 (Europe),Steam,50,16.59,67,10 septiembre 2018,70 /100,GAME,05 abril 2019
141,Killing Floor 2,Steam,28,3.74,87,21 abril 2015,88 /100,GAME,05 abril 2019
142,Super Smash Bros. Ultimate Switch (Europe),Nintendo,70,54.99,21, 7 diciembre 2018,90 /100,GAME,05 abril 2019
143,Dying Light,Steam,30,10.20,66,27 enero 2015,90 /100,GAME,05 abril 2019
144,Grand Theft Auto Online: Megalodon Shark Cash Card,Rockstar,75,44.98,40,14 abril 2015,87 /100,DLC,05 abril 2019
145,Project Cars 2,Steam,60,11.67,81,22 septiembre 2017,78 /100,GAME,05 abril 2019
146,Call of Duty: World War II (Europe),Steam,60,14.98,75, 3 noviembre 2017,68 /100,GAME,05 abril 2019
147,For Honor (Europe),Uplay,30,10.93,64,14 febrero 2017,78 /100,GAME,05 abril 2019
148,Kerbal Space Program,Steam,40,8.29,79,27 abril 2015,94 /100,GAME,05 abril 2019
149,World of Warcraft: Battle Chest (Europe),Battle.net,15,7.99,47, 2 octubre 2007,92 /100,GAME,05 abril 2019
150,PlayStation Plus - Suscripción 365 días (España) (ES),Playstation,60,42.99,28,N/A,98 /100,GAME,05 abril 2019
151,Shadow of the Tomb Raider,Steam,60,21.54,64,14 septiembre 2018,90 /100,GAME,05 abril 2019
152,Grand Theft Auto Online: Whale Shark Cash Card,Rockstar,38,22.97,40,14 abril 2015,87 /100,DLC,05 abril 2019
153,Command & Conquer: The Ultimate Collection,Origin,30,5.71,81, 4 octubre 2012,86 /100,GAME,05 abril 2019
154,Northgard,Steam,28,9.09,68,22 febrero 2017,88 /100,GAME,05 abril 2019
155,EA Access Pass 1 Mes Xbox One,Xbox,4,2.99,25,N/A,96 /100,GAME,05 abril 2019
156,Dark Souls 2: Scholar of the First Sin,Steam,40,7.99,80, 2 abril 2015,87 /100,GAME,05 abril 2019
157,DiRT 3 Complete Edition,Steam,20,1.01,95,24 mayo 2011,89 /100,GAME,05 abril 2019
158,Total War: Warhammer,Steam,60,11.44,81,24 mayo 2016,84 /100,GAME,05 abril 2019
159,Stellaris,Steam,40,6.99,83, 9 mayo 2016,85 /100,GAME,05 abril 2019
160,Assassin's Creed: Unity Xbox ONE,Xbox,60,1.99,97,13 noviembre 2014,79 /100,GAME,05 abril 2019
161,Tarjeta Nintendo eShop 15€ (Europe),Nintendo,15,14.39,4,N/A,100 /100,GAME,05 abril 2019
162,Crusader Kings II,Steam,40,2.49,94,14 febrero 2012,91 /100,GAME,05 abril 2019
163,Mount and Blade: Warband (Europe),Steam,20,1.81,91,31 marzo 2010,92 /100,GAME,05 abril 2019
164,FIFA 19: 12000 FUT Points Xbox ONE,Xbox,100,84.89,15,28 septiembre 2018,? /100,DLC,05 abril 2019
165,Battlefield 1 Revolution Edition ,Origin,60,11.49,81,22 agosto 2017,85 /100,GAME,05 abril 2019
166,Euro Truck Simulator 2: Heavy Cargo Pack,Steam,5,3.78,24,12 mayo 2017,89 /100,DLC,05 abril 2019
167,Skyrim 3 Addon Pack: Dawnguard + Dragonborn + Hearthfire,Steam,45,5.75,87,2013,96 /100,DLC,05 abril 2019
168,Assetto Corsa,Steam,20,8.42,58,19 diciembre 2014,85 /100,GAME,05 abril 2019
169,Battlefield 4 (Europe),Origin,20,6.68,67,31 octubre 2013,85 /100,GAME,05 abril 2019
170,HearthStone: Heroes of WarCraft 5x Booster Pack,Battle.net,7,1.01,85,12 marzo 2014,87 /100,DLC,05 abril 2019
171,Insurgency: Sandstorm,Steam,30,22.04,27,12 diciembre 2018,78 /100,GAME,05 abril 2019
172,Tarjeta regalo Xbox Live 15€ (zona euro),Xbox,15,14.50,3,N/A,95 /100,GAME,05 abril 2019
173,Final Fantasy XV Windows Edition,Steam,50,18.99,62, 6 marzo 2018,84 /100,GAME,05 abril 2019
174,Dragon Ball Xenoverse 2,Steam,50,11.58,77,28 octubre 2016,82 /100,GAME,05 abril 2019
175,FIFA 19: 4600 FUT Points Xbox ONE,Xbox,40,34.99,13,28 septiembre 2018,? /100,DLC,05 abril 2019
176,Cities: Skylines Platinum Edition,Steam,60,15.19,75,24 mayo 2018,88 /100,GAME,05 abril 2019
177,Dark Souls 3: Season Pass,Steam,25,10.67,57,12 abril 2016,94 /100,DLC,05 abril 2019
178,Need for Speed,Origin,40,8.60,78,17 marzo 2016,70 /100,GAME,05 abril 2019
179,The Elder Scrolls V: Skyrim (Europe),Steam,15,5.87,61,11 noviembre 2011,94 /100,GAME,05 abril 2019
180,Spintires,Steam,10,2.62,74,12 junio 2014,83 /100,GAME,05 abril 2019
181,Tarjeta PlayStation Network 10€ (España) (ES),Playstation,10,9.09,9,N/A,96 /100,GAME,05 abril 2019
182,Xbox Live Gold 3 Month Membership (Europe),Xbox,20,12.99,35,N/A,100 /100,GAME,05 abril 2019
183,Frostpunk (Europe),Steam,30,13.98,53,24 abril 2018,87 /100,GAME,05 abril 2019
184,F1 2019 Anniversary Edition,Steam,55,30.49,45,28 junio 2019,? /100,GAME,05 abril 2019
185,Insurgency,Steam,10,1.19,88,22 enero 2014,85 /100,GAME,05 abril 2019
186,Hearts of Iron: Man The Guns,Steam,20,11.65,42,28 febrero 2019,100 /100,DLC,05 abril 2019
187,Dishonored 2,Steam,40,6.95,83,11 noviembre 2016,85 /100,GAME,05 abril 2019
188,Guild Wars 2: Heart of Thorns,Ncsoft,30,15.29,49, 5 julio 2015,88 /100,GAME,05 abril 2019
189,Total War: Warhammer II Curse Of The Vampire Coast (Europe),Steam,17,13.05,25, 8 noviembre 2018,90 /100,DLC,05 abril 2019
190,New Super Mario Bros. U Deluxe Switch (Europe),Nintendo,60,47.99,20,11 enero 2019,90 /100,GAME,05 abril 2019
191,Fallout 76 Xbox ONE,Xbox,70,18.67,73,14 noviembre 2018,54 /100,GAME,05 abril 2019
192,The Legend of Zelda: Breath of the Wild Expansion Pass Switch (Europe),Nintendo,20,16.99,15, 3 marzo 2017,98 /100,DLC,05 abril 2019
193,Mass Effect Trilogy,Origin,40,6.11,85, 8 noviembre 2012,94 /100,GAME,05 abril 2019
194,Planet Coaster,Steam,38,24.97,34,30 mayo 2017,88 /100,GAME,05 abril 2019
195,Nintendo Membership 12 Month (Individual) (Europe),Nintendo,20,17.99,10,19 septiembre 2018,88 /100,GAME,05 abril 2019
196,Wolfenstein II: The New Colossus,Steam,60,12.58,79,27 octubre 2017,85 /100,GAME,05 abril 2019
197,Need for Speed: Payback,Origin,60,12.23,80,10 noviembre 2017,76 /100,GAME,05 abril 2019
198,Grand Theft Auto Online: Tiger Shark Cash Card,Rockstar,4,2.89,28,14 abril 2015,87 /100,DLC,05 abril 2019
199,Outlast,STEAM,17,2.36,86, 4 septiembre 2013,94 /100,GAME,05 abril 2019
200,Escape from Tarkov (Beta) (Europe),Official Website,44,38.98,11,22 diciembre 2017,71 /100,GAME,05 abril 2019
201,Euro Truck Simulator 2 Gold Edition,Steam,16,6.26,61,19 octubre 2012,91 /100,GAME,05 abril 2019
202,Resident Evil 6 (Europe),Steam,30,4.09,86,22 marzo 2013,78 /100,GAME,05 abril 2019
203,Worms Revolution,Steam,15,1.36,91,10 octubre 2012,87 /100,GAME,05 abril 2019
204,Two Point Hospital (Europe),Steam,35,20.27,42,30 agosto 2018,87 /100,GAME,05 abril 2019
205,Xbox Game Pass 3 Months Xbox ONE,Xbox,30,19.99,33,N/A,99 /100,GAME,05 abril 2019
206,Dead By Daylight Deluxe,Steam,20,10.99,45,14 junio 2016,83 /100,GAME,05 abril 2019
207,The Division (Europe),Uplay,50,13.99,72, 8 marzo 2016,79 /100,GAME,05 abril 2019
208,Apex Legends: 1000 Apex Coins,Origin,10,9.50,5, 4 febrero 2019,? /100,DLC,05 abril 2019
209,Assassin's Creed IV: Black Flag (Europe),Uplay,20,5.96,70,29 octubre 2013,86 /100,GAME,05 abril 2019
210,American Truck Simulator,Steam,20,4.23,79, 2 febrero 2016,89 /100,GAME,05 abril 2019
211,NBA 2K19: 200.000 VC Xbox ONE,Xbox,50,34.99,30,11 septiembre 2018,? /100,DLC,05 abril 2019
212,Batman: Arkham Knight,Steam,20,3.95,80,23 junio 2015,84 /100,GAME,05 abril 2019
213,American Truck Simulator: Oregon,Steam,12,5.78,52, 4 octubre 2018,87 /100,DLC,05 abril 2019
214,Stellaris: MegaCorp,Steam,20,10.43,48, 6 diciembre 2018,93 /100,DLC,05 abril 2019
215,Grand Theft Auto Online: Great White Shark Cash Card PS4 (Europe),Playstation,15,10.99,27,14 abril 2015,90 /100,DLC,05 abril 2019
216,Diablo III Battle Chest,Battle.net,30,18.99,37,22 noviembre 2016,89 /100,GAME,05 abril 2019
217,Simcity (Europe),Origin,62,6.36,90, 7 marzo 2013,78 /100,GAME,05 abril 2019
218,Star Wars: The Old Republic 60 days,Official Website,27,23.16,14,20 diciembre 2011,90 /100,DLC,05 abril 2019
219,Super Smash Bros. Ultimate Fighter Pass Switch (Europe),Nintendo,25,20.99,16, 7 diciembre 2018,80 /100,DLC,05 abril 2019
220,NieR: Automata,Steam,40,18.51,54,17 marzo 2017,91 /100,GAME,05 abril 2019
221,Mad Max,Steam,20,3.33,83, 1 septiembre 2015,85 /100,GAME,05 abril 2019
222,Mario Kart 8 Deluxe Switch (Europe),Nintendo,60,47.99,20,28 abril 2017,98 /100,GAME,05 abril 2019
223,Batman: Arkham Origins ,Steam,20,1.57,92,25 octubre 2013,87 /100,GAME,05 abril 2019
224,The Sims 4: Bundle Pack 6,Origin,30,18.06,40,16 marzo 2018,92 /100,DLC,05 abril 2019
225,Dragon Ball FighterZ,Steam,60,17.77,70,26 enero 2018,87 /100,GAME,05 abril 2019
226,Motorsport Manager,Steam,35,7.29,79,10 noviembre 2016,86 /100,GAME,05 abril 2019
227,Metal Gear Solid V: The Definitive Experience,Steam,30,5.74,81,13 octubre 2016,90 /100,GAME,05 abril 2019
228,Hunt Showdown,Steam,30,19.98,33,22 febrero 2018,86 /100,GAME,05 abril 2019
229,Mortal Kombat 11 Premium Edition,Steam,90,69.49,23,23 abril 2019,? /100,GAME,05 abril 2019
230,Euro Truck Simulator 2 Cargo Collection,Steam,10,6.45,35, 9 febrero 2018,93 /100,DLC,05 abril 2019
231,Borderlands: The Pre-Sequel: Season Pass,Steam,30,8.44,72,30 septiembre 2014,85 /100,DLC,05 abril 2019
232,Anthem,Origin,60,38.98,35,22 febrero 2019,65 /100,GAME,05 abril 2019
233,Prey,Steam,30,6.94,77, 5 mayo 2017,83 /100,GAME,05 abril 2019
234,Borderlands GOTY Edition,Steam,20,16.64,17, 8 octubre 2010,89 /100,GAME,05 abril 2019
235,Los Sims 4: Papás y Mamás,Origin,20,14.60,27,30 agosto 2017,96 /100,DLC,05 abril 2019
236,Warhammer: Vermintide 2,Steam,28,10.49,63, 8 marzo 2018,87 /100,GAME,05 abril 2019
237,Dragon Quest XI: Echoes of an Elusive Age,Steam,60,28.89,52, 4 septiembre 2018,93 /100,GAME,05 abril 2019
238,Los Sims 3: y las Cuatro Estaciones (Europe),Official Website,40,3.67,91,16 noviembre 2012,88 /100,DLC,05 abril 2019
239,Plants vs. Zombies: Garden Warfare 2,Origin,60,9.09,85,25 febrero 2016,85 /100,GAME,05 abril 2019
240,We. The Revolution,Steam,20,16.49,18,21 marzo 2019,75 /100,GAME,05 abril 2019
241,Xbox Live Gold 48h Membership (Only New Accounts),Xbox,3,1.49,50,N/A,96 /100,GAME,05 abril 2019
242,Subscripción Xbox Live Gold 6 Meses,Xbox,40,23.99,40,N/A,97 /100,GAME,05 abril 2019
